feature,score,target
采样时刻,0.9574245552357263,青霉素浓度
菌体浓度,0.9057608919391774,青霉素浓度
体积,0.9322868587148043,青霉素浓度
c02浓度,0.9057225769333993,青霉素浓度
反应热,0.907905638897713,青霉素浓度
冷却水流速,0.9572538890009985,青霉素浓度
